serial_no;title;status;fund_perc;category;place;last_updated;company;websites;project_link;description
1;Digital Marketplace for Products and Services;59;left;Software;New York, NY;;Bryan Herrera;['https://the-around-app.com/'];https://www.kickstarter.com/projects/the-around-app/digital-marketplace-for-products-and-services?ref=discovery_category_newest&total_hits=335&category_id=51;All local products and services delivered to you in minutes and all under one unified app.
2;Help Build Left Pulse: A Space to Connect, Learn & Act;29;left;Web;London, UK;;Mirabel Lawson;[];https://www.kickstarter.com/projects/237306331/help-build-left-pulse-a-space-to-connect-learn-and-act?ref=discovery_category_newest&total_hits=335&category_id=342;We are building an online platform where left-wing individuals can share stories, exchange knowledge, take action, and preserve history
3;Spend Ninja;59;left;Apps;St. Petersburg, FL;;Johnathon Marvell;['https://www.spendninja.com/'];https://www.kickstarter.com/projects/spendninja/spend-ninja?ref=discovery_category_newest&total_hits=335&category_id=332;Making Financial Freedom Accessible Through AI | Helping Users Master Their Money 🚀
4;Genmitsu Cubiko, An Affordable Desktop CNC for Everyone;29;left;Fabrication Tools;Las Vegas, NV;;SainSmart Team;['https://www.sainsmart.com/'];https://www.kickstarter.com/projects/genmitsu/cubiko?ref=discovery_category_newest&total_hits=335&category_id=335;CNC Router | Portable | CNC Carving | PCB Milling | Laser Engraving | Drawing | Polishing | Use Right out of Box | Smart APP
5;ConnectUs - An App aiming to battle Social Isolation;29;left;Apps;Berlin, Germany;;Niklas Kerscbaum;['https://www.official-connectus.com/'];https://www.kickstarter.com/projects/2006273591/connectus-an-app-aiming-to-battle-social-isolation?ref=discovery_category_newest&total_hits=335&category_id=332;An app that fights social isolation, the fear of missing out and enables you to make more genuine real-world connections.
6;Moovers - Application mobile pour les entrepreneurs;52;left;Apps;France, France;;Lucas Fonseque;['https://moovers.biz/moovers-application-freelance/'];https://www.kickstarter.com/projects/lucas-fonseque/moovers-application-mobile-pour-les-entrepreneurs?ref=discovery_category_newest&total_hits=335&category_id=332;Transformer la solitude entrepreneuriale en force collective : Créer des liens humains en participant et organisant des évènements.
7;Dripp To-go - Sameday delivery for clothing & accessories;59;left;Apps;Cleveland, OH;;Dripp To-go;['https://www.dripptogo.com/'];https://www.kickstarter.com/projects/dripptogofunding/dripp-to-go-sameday-delivery-for-clothing-and-accessories?ref=discovery_category_newest&total_hits=335&category_id=332;A new service which gives customers the luxury of online shopping with a 60 minute Wait.
8;readmix: La nueva forma de leer;59;left;Apps;España, Spain;;Pedro Emilio Jiménez Ubierna;['https://www.themediabrands.es/'];https://www.kickstarter.com/projects/readmix/readmix-la-nueva-forma-de-leer?ref=discovery_category_newest&total_hits=335&category_id=332;¿Dejaste de leer? Readmix te trae la revolución de la lectura. Historias cortas que harán al mundo entero amar la lectura otra vez.
9;Proyectos: The Branding Way - HoliForm - Blossom Era;59;left;Makerspaces;Nuevo Leon, Mexico;;Rosa María Rodríguez Huitrón;[];https://www.kickstarter.com/projects/proyectode3x3/proyectos-the-branding-way-holiform-blossom-era?ref=discovery_category_newest&total_hits=335&category_id=362;Únete a revolución en Kickstarter: marketing, moda y formación se unen para empoderar personas y marcas. ¡Sé parte del cambio!
10;Aped: Crypto Social App;59;left;Apps;Pittsburgh, PA;;Shawn Revels;[];https://www.kickstarter.com/projects/apedsocial/aped-crypto-social-app?ref=discovery_category_newest&total_hits=335&category_id=332;The Crypto Social Platform for Discovery, Engagement, and Profitability.
