serial_no;title;status;fund_perc;category;place;last_updated;company;websites;project_link;description
1;Smartflex Camera SLR 4x5;Ended;1065%;Camera Equipment;Tokyo, Japan;January 22, 2025;Zhuoyao Chen;['https://www.instagram.com/smartflexcamera/', 'https://smartflexcamera.com/'];https://www.kickstarter.com/projects/smartflexcamera/smartflex-camera-slr-4x5?ref=discovery_category_newest&total_hits=453&category_id=333;Large Format SLR System
2;MagCool OmniGrip: Magnetic Multi-functional Shooting Handle;Ended;2549%;Camera Equipment;Hong Kong, Hong Kong;January 19, 2025;JSAUX TEAM;['https://www.jsaux.com/'];https://www.kickstarter.com/projects/jsaux/magcool-omnigrip-magnetic-multi-functional-shooting-handle?ref=discovery_category_newest&total_hits=453&category_id=333;ProRes Recording (M.2 Slot) | Semiconductor Cooling | Magnetic Design, MagSafe™️ Compatible | Ring Light | Expandable Accessories
3;You can record your baby in the back seat while driving;Ended;220%;Camera Equipment;Hong Kong, Hong Kong;December 29, 2024;AKEEYO;['https://www.akeeyo.com/'];https://www.kickstarter.com/projects/akeeyo/you-can-see-your-baby-in-the-back-seat-while-driving?ref=discovery_category_newest&total_hits=453&category_id=333;"FHD Recording丨Video and Photo Taking丨Super Night Vision丨5.5"" IPS Display丨APP丨Alighting Reminder丨Voice control丨Suitable for 3 Kids &pets"
4;Zebra Sensitising Tank: Top Choice for Wet Plate Photography;Ended;404%;Camera Equipment;Ljubljana, Slovenia;December 25, 2024;Zebra Dry Plates;['https://zebradryplates.com/'];https://www.kickstarter.com/projects/zebradryplates/zebra-sensitising-tank-built-for-wet-plate-photographers?ref=discovery_category_newest&total_hits=453&category_id=333;A compact, leakproof Sensitising Tank for Wet Plate Collodion Photography simplifies your analog process in the Field & Studio Darkroom
5;Super Telephoto 240mm — Boost Your Smartphone Reach to 10x;Ended;3882%;Camera Equipment;Rome, Italy;January 25, 2025;REEFLEX;['https://reeflexstore.com/'];https://www.kickstarter.com/projects/reeflex/super-telephoto-240mm-reach-further-capture-sharper?ref=discovery_category_newest&total_hits=453&category_id=333;Capture distant subjects, stunning portraits, and magic macro shots with our patent-backed lens engineered for the 5x Telephoto Cameras
6;Super Bright Hugerock PD70 2600nit 7 Portable Camera Monitor;Ended;584%;Camera Equipment;Sheridan, WY;January 22, 2025;MIKE YU;[];https://www.kickstarter.com/projects/hugerockpd70/7-2600nits-brightness-portable-display-camera-field-monitor?ref=discovery_category_newest&total_hits=453&category_id=333;Outdoor Ultrathin Rugged Portable Screen Camera Field Monitor Clear Visibility Under Sunlight, 98% Wide Color Gamut Display Low Power
7;2-in-1 head-mounted bicycle fishing flashlight sports camera;Ended;255%;Camera Equipment;Hong Kong, Hong Kong;October 30, 2024;RADING;[];https://www.kickstarter.com/projects/1610310784/2-in-1-head-mounted-cycling-fishing-flashlight-camera?ref=discovery_category_newest&total_hits=453&category_id=333;LED headlight /Sports camera/4K/48MP/Full-view COB core/TYPE-C fast charging/270° wide-range lighting/2000mAh/95g/P67 /128G TF.
8;The Intrepid Lens & Shutter Project;Ended;603%;Camera Equipment;Brighton and Hove City, UK;January 7, 2025;The Intrepid Camera Co.;['http://www.intrepidcamera.co.uk/', 'http://www.instagram.com/intrepidcamera', 'https://twitter.com/Intrepidcamera', 'https://www.facebook.com/theintrepidcameraco'];https://www.kickstarter.com/projects/intrepidcamera/the-intrepid-lens-and-shutter-project?ref=discovery_category_newest&total_hits=453&category_id=333;A modern and feature packed shutter and lens for 4x5 cameras, help us secure the future of large format photography!
9;Projector Lens: 18° - 36° Stepless Zoom Lens for COB Light;Ended;2293%;Camera Equipment;Verona, NJ;December 27, 2024;SIRUI;['https://www.pocket.sirui.com/'];https://www.kickstarter.com/projects/-vision-prime-1/projector-lens-18-36-stepless-zoom-lens-for-cob-light?ref=discovery_category_newest&total_hits=453&category_id=333;Bowens Mount | Stepless Zoom Lens | Super Lightweight | Easy and Flexible Controlling
10;KONSIVY02--4K Night Vision WiFi Telescope&Camera;Late;active;Camera Equipment;Hong Kong, Hong Kong;Sep 12 2024;Record Your Life;[];https://www.kickstarter.com/projects/konsivy/konsivy-singular-night-conqueror?ref=discovery_category_newest&total_hits=453&category_id=333;Telescope&Photography&Camera in One /Suitable for day & night observation / WIFI connection / APP- Download, Edit, Share in real-time
11;EYES: Your AI Driving Assistant for Safer, Smarter Journeys;Ended;343%;Camera Equipment;Hong Kong, Hong Kong;November 2, 2024;AKEEYO;['https://www.akeeyo.com/'];https://www.kickstarter.com/projects/akeeyo/bionic-ai-dashcam-adas-and-bsd-dual-assistance-systems?ref=discovery_category_newest&total_hits=453&category_id=333;2K HD Triple-Lens | Voice Control | Parking Monitoring | Proactive Alerts | ADAS & BSD | 5G WI-FI | App | OTA Updates
12;LemurStrap: Go anywhere, get the shot;Ended;1128%;Camera Equipment;Boulder, CO;December 20, 2024;LemurStrap;[];https://www.kickstarter.com/projects/lemurstrap/lemurstrap-go-anywhere-get-the-shot?ref=discovery_category_newest&total_hits=453&category_id=333;The innovative camera-carrying solution keeping your camera securely positioned where you want it and easy to access when you need it.
13;ProjeCamera-A Camera That Acts As A Projector;Ended;138%;Camera Equipment;Denver, CO;January 9, 2025;ProjeCamera;['https://projecamera.shop/'];https://www.kickstarter.com/projects/projecamera-ks/projecamera-a-camera-that-acts-as-a-projector?ref=discovery_category_newest&total_hits=453&category_id=333;2K Resolution Video | 48M Photo | 8W Projected Brightness | 2.4-inch HD Display | 2500mAh Built-in Battery
14;Action Box Cine - GoPro Filming Reimagined!;Ended;110%;Camera Equipment;Seattle, WA;January 22, 2025;Dragonfly Optix;['https://dragonflyoptix.com/'];https://www.kickstarter.com/projects/actionboxcine/action-box-cine-elevate-your-footage-and-experience?ref=discovery_category_newest&total_hits=453&category_id=333;The Ultimate Cinematic Vlogging Rig. No More Light Glare, FAST Swap Filters, And More! Easy Filming Via Game Changing Features!
15;The TriStand;Ended;102%;Camera Equipment;Zurich, Switzerland;November 5, 2024;Michail Sgouropoulos;[];https://www.kickstarter.com/projects/dispostudio/the-tristand?ref=discovery_category_newest&total_hits=453&category_id=333;The Budget-friendly alternative to traditional copystands.
16;MABO GLOW: Next Generation Diffusion (1/8 intensity);Ended;141%;Camera Equipment;Berlin, Germany;September 30, 2024;Max Bolle;['https://www.visualminds.clothing/'];https://www.kickstarter.com/projects/maboglow/mabo-glow-next-generation-diffusion-1-8-intensity?ref=discovery_category_newest&total_hits=453&category_id=333;The next generation diffusion filter in the 1/8 intensity giving your footage cinematic excellence for everyday usage.
17;3D Scanning Masterclass;Ended;139%;Camera Equipment;Los Angeles, CA;December 29, 2024;Jeffrey Ian Wilson;['http://www.jeffreyianwilson.com/', 'http://www.linkedin.com/in/jeffreyianwilson'];https://www.kickstarter.com/projects/jeffreyianwilson/3d-scanning-masterclass?ref=discovery_category_newest&total_hits=453&category_id=333;A Comprehensive Guide to 3D Scanning for Games and Visual Effects
18;LIT DUO 1: Game-Changing Light Meter for Film, Video, Photo;Late;active;Camera Equipment;Stockholm, Sweden;Jul 10 2024;Lit Systems;['http://lit-systems.com/', 'http://instagram.com/litsystems'];https://www.kickstarter.com/projects/litsystems/lit-duo-1-game-changing-light-meter-for-film-video-photo?ref=discovery_category_newest&total_hits=453&category_id=333;Six essential tools inside an insanely intuitive pocket-sized device. Create the work of your life!
19;LINKFLOW BOLD: The Most Versatile Outdoor Safety Camera;Ended;886%;Camera Equipment;San Francisco, CA;January 31, 2025;Linkflow, inc.;['https://twitter.com/LINKFLOW_360', 'https://www.instagram.com/linkflow_official/', 'https://www.youtube.com/channel/UCGXQtVBbKxIMOWdDO1g-bMQ', 'https://www.linkedin.com/company/11196028/', 'https://www.facebook.com/linkflowbold/', 'https://www.linkflowbold.com/'];https://www.kickstarter.com/projects/linkflow/linkflow-bold-the-most-versatile-outdoor-safety-camera?ref=discovery_category_newest&total_hits=453&category_id=333;3-Level Tilting | 4K UHD Recording | 148.2° Wide Angle | Sony STARVIS™ Sensor | 64GB Built-in Memory | IP67 Waterproof | 8Hours Runtime
20;NV001: Night vision camera with built-in tactical flashlight;Ended;490%;Camera Equipment;Hong Kong, Hong Kong;July 27, 2024;NVCAMERA;[];https://www.kickstarter.com/projects/226501271/nv001-night-vision-camera-with-built-in-tactical-flashlight?ref=discovery_category_newest&total_hits=453&category_id=333;6000 mAh battery | 4k | 5g | wifi6.2 | supports up to 512G TF card | emergency power bank | 1000 lumens flashlight
21;SwitchLens - Turn any Smartphone into a Professional Camera;Late;active;Camera Equipment;Shenzhen, China;Jun 11 2024;sneaki design;[];https://www.kickstarter.com/projects/halohub/switchlens-power-up-your-smartphone-into-a-pro-camera?ref=discovery_category_newest&total_hits=453&category_id=333;Snap & Capture | M43 CMOS | 21MP RAW Photos | 4K/120fps | Autofocus | Switchable M43 Lenses | Wireless Connect | iOS & Android Phone
22;Nana Camera - Next Gen Reusable 35mm Film Point & Shoot;Ended;108%;Camera Equipment;Melbourne, AU;December 18, 2024;FilmNeverDie;['https://filmneverdie.com/'];https://www.kickstarter.com/projects/filmneverdie/nana-next-gen-reusable-35mm-point-and-shoot-film-camera?ref=discovery_category_newest&total_hits=453&category_id=333;With its sleek metal body, crisp optics & easy operation, our reusable auto 35mm point and shoot Nana Film Camera will blow you away.
23;PaintCam - AI Face Recognition & Paintball Security System;Ended;618%;Camera Equipment;Ljubljana, Slovenia;January 29, 2025;OZ-IT;['https://paintcam.eu/', 'https://oz-it.eu/'];https://www.kickstarter.com/projects/paintcam/paintcam-face-recognition-and-paintball-firing-security-system?ref=discovery_category_newest&total_hits=453&category_id=333;Meet EVE PaintCam security system with integrated real-time face recognition & paintball marking for preventive and reactive safety!
24;Excope DT1|The World's Lightest Super Telephoto Camera;Ended;6297%;Camera Equipment;Boulder, CO;January 25, 2025;BEAVERLAB TECH;['https://www.beaverlabtech.com/'];https://www.kickstarter.com/projects/beaverlab/excope-dt1-the-worlds-lightest-super-telephoto-camera?ref=discovery_category_newest&total_hits=453&category_id=333;200x Magnification|400mm Focal Length|Moon Shot|48 Megapixel|Cost Effective|Easy Handling|Super Computing Power|Free App|Wifi Control
25;MiMi™ - Micro Mirrorless Yashica - I'm Back;Late;active;Camera Equipment;Lugano, Switzerland;Mar 26 2024;Samuel Mello Medeiros;['http://www.samellos.eu/', 'https://www.facebook.com/ImBackCamera', 'https://mobile.twitter.com/samellos123', 'https://it.pinterest.com/samellos/', 'http://www.imback.eu/', 'https://www.instagram.com/imbackofficial'];https://www.kickstarter.com/projects/samellos/micro-mirrorless-yashica-im-back?ref=discovery_category_newest&total_hits=453&category_id=333;Would you like a high-quality telephoto picture? No smartphone required. Save your battery! 100gr | C-mount | WIFI control | Free APP
26;Ultra Plates for Arca-Compatible tripods, by 3 Legged Thing;Ended;1202%;Camera Equipment;Bedfordshire, UK;November 19, 2024;3 Legged Thing;['https://www.3leggedthing.com/'];https://www.kickstarter.com/projects/3leggedthing/ultra-plates-for-tripods-by-3-legged-thing?ref=discovery_category_newest&total_hits=453&category_id=333;Arca-Swiss compatible, multi-functional, long release plates for photographers and video makers.
27;Affordable Cine Zoom Lens Made for All Creators by 7Artisans;Ended;454%;Camera Equipment;Hong Kong, Hong Kong;July 4, 2024;7artisans;[];https://www.kickstarter.com/projects/254667071/affordable-cine-zoom-lens-made-for-all-creators-by-7artisans?ref=discovery_category_newest&total_hits=453&category_id=333;Budget-Friendly, Parfocal Design, 4x Zoom, Superb Breathing Compensation, and Complete Compatibility for your creative vision.
