serial_no;title;status;fund_perc;category;place;last_updated;company;websites;project_link;description
1;WiredMaker - a wire EDM for makers;Ended;207%;Fabrication Tools;Kortrijk, Belgium;February 7, 2025;Closed Loop Makers;[];https://www.kickstarter.com/projects/closedloopmakers/wiredmaker-a-wire-edm-for-makers;Make precise parts out of any metal at your home or workshop.
2;Maslow4.1 - Accessible Large Format CNC Router;Ended;2865%;Fabrication Tools;Seattle, WA;February 6, 2025;Bar Smith;['http://www.maslowcnc.com/'];https://www.kickstarter.com/projects/maslow4/maslow41-accessible-large-format-cnc-router;Bringing your digital projects to life!
3;SineCore CNC Lathe: Professional Grade, Compact Size;Ended;765%;Fabrication Tools;Chicago, IL;February 9, 2025;SineCore CNC;['https://www.sinecorecnc.com/'];https://www.kickstarter.com/projects/sinecorecnc/sinecore-cnc-lathe-professional-grade-compact-size;Engineered for professionals, yet beginner-friendly. The power you want, in the size you need. Let’s open new doors to innovation.
4;CNC Machining: Your Complete Course;Late;active;Fabrication Tools;New York, NY;Oct 8 2024;Teach me CNC;['https://www.teachmecnc.com/'];https://www.kickstarter.com/projects/teachmecnc/cnc-machining-your-complete-training-program;Explore CNC Machining with detailed lessons, real-world projects, and personalized coaching from experienced professionals
5;Bakon210pro-A Portable Thermostatic Soldering Iron for You;Ended;452%;Fabrication Tools;Hong Kong, Hong Kong;January 21, 2025;BAKON;[];https://www.kickstarter.com/projects/1893796574/bakon210pro-a-portable-thermostatic-soldering-iron-for-you;Lightweight Handle/180℃-480℃/Safe and Rapid Heat-up/Temperature Visualization/Temperature Correction Function/Pluggable Heating Element
6;Carvera Air: A Smart and Versatile Desktop CNC;Ended;6939%;Fabrication Tools;Beijing, China;January 22, 2025;Makera;['https://www.makera.com/'];https://www.kickstarter.com/projects/makera-inc/carvera-air;Endless Materials | Quick Tool Changer | Auto Probing and Leveling | 4th Axis | Laser Engraving | All-in-one CAM Software
7;TorkStrap Pro™ Load Safe. Load Smart.;Ended;117%;Fabrication Tools;Santa Clarita, CA;December 24, 2024;Grant;[];https://www.kickstarter.com/projects/torkstrap/torkstrap-protm-load-safe-load-smart;A Spring Loaded Cargo Strap That Always Stays Tight
8;Tabletop Pneumatic Injection Molder - INARI P35;Ended;115%;Fabrication Tools;Nagano, Japan;April 23, 2024;Originalmind;['https://www.originalmind.co.jp/', 'https://www.originalmind.co.jp/company/'];https://www.kickstarter.com/projects/originalmind/tabletop-pneumatic-injection-molder-inari-p35;Craft Your Vision: A Machine That Brings Your Art to Everyone.
9;BLSTRsander: a totally new powertool;Ended;374%;Fabrication Tools;Antwerp, Belgium;August 1, 2024;Koen Meukens;['https://blstrsander.com/'];https://www.kickstarter.com/projects/koenmeukens/blstrsander;The power of a sandblaster in a handheld format that doesn't require a bulky compressor. Sand all surfaces anywhere without effort!
10;SUPCUTTER, The Powerful & Safe Board Cutting Tool;Ended;753%;Fabrication Tools;San Francisco, CA;June 19, 2024;SUPCUTTER;[];https://www.kickstarter.com/projects/1154298676/supcutter-the-powerful-and-safe-board-cutting-tool;Simulate your creativity and bring you a unique DIY journey-for inventive minds of any age!
11;FORMART S：Industrial Grade Vacuum Former Built for Desktops;Ended;2142%;Fabrication Tools;Taipei City, Taiwan;May 27, 2024;FORMART;[];https://www.kickstarter.com/projects/formart/formart-s-industrial-grade-vacuum-former-built-for-desktops;Achieve professional-grade molds with this tiny-footprint vacuum former!
12;xTool Screen Printer-1st Screen Printing Solution with Laser;Ended;3717%;Fabrication Tools;California City, CA;December 23, 2023;xTool;['https://www.xtool.com/'];https://www.kickstarter.com/projects/makeblock/xtool-screen-printer-1st-screen-printing-solution-with-laser;Reinvent Traditional Screen Printing Process with Laser Engraver, with Effortless Steps, Limitless Compatibility and Flawless Quality.
13;CREATOR: 3-Axis Desktop CNC Mill;Ended;733%;Fabrication Tools;New York, NY;December 2, 2024;CREATOR;['https://www.creatorcnc.com/'];https://www.kickstarter.com/projects/creatorcnc/creator-3-axis-desktop-cnc-mill;Experience the freedom to shape toughest metals. Have your creativity meet cutting-edge technology.
14;ChompSaw: A kid-safe power tool for cutting cardboard;Ended;2350%;Fabrication Tools;Philadelphia, PA;December 3, 2024;ChompShop;['https://www.chompshop.com/', 'https://www.instagram.com/itschompshop/', 'https://www.facebook.com/itschompshop', 'https://www.tiktok.com/@itschompshop'];https://www.kickstarter.com/projects/chompshop/inventable-a-kid-safe-power-tool-for-cutting-cardboard;Unleash your creative potential - for inventors of all ages!
15;Red Fox 2 | All-in-One CNC Router to Fabricate like a PRO;Ended;1407%;Fabrication Tools;Valladolid, Spain;December 4, 2024;Nomad Technologies S.L.;['https://nomadtech.es/', 'https://redfox2.nomadtech.es/getyours'];https://www.kickstarter.com/projects/nomadtech/redfox-2-all-in-one-cnc-router;Robust 3-axis milling machine, user-friendly, suitable for many materials, with remote control, and accessories for more possibilities.
16;Maslow4 - Affordable Compact Large Format CNC Router;Ended;418%;Fabrication Tools;Port Townsend, WA;June 27, 2024;Bar Smith;['http://www.maslowcnc.com/'];https://www.kickstarter.com/projects/maslow4/maslow4-affordable-compact-large-format-cnc-router;Compact | 8' x 4' | Open Source | Easy set up | Compatible with all platforms
17;Colfer: Cold Brew Coffee Made Simple;Ended;413%;Fabrication Tools;Hong Kong, Hong Kong;January 12, 2024;Colfer;[];https://www.kickstarter.com/projects/525268091/colfer-cold-brew-coffee-made-simple;Precise Temperature Control | Freezing Point Cooling | Rapid Refrigeration | One-Click Cooling
18;Rownd CNC Lathe - Machining for Everybody;Ended;1818%;Fabrication Tools;Los Angeles, CA;December 24, 2024;Rownd Precision;['https://www.rowndcnc.com/'];https://www.kickstarter.com/projects/rowndprecision/rownd-cnc-lathe-machining-for-everybody;Gamepad Controller | 4'th Axis | Automatic Tool Changer | 800 W Spindle Motor | Laser Engraving | Safe and Clean Machining
19;The Adjustable Mortise Jig and Tenon Fastener System™;Ended;135%;Fabrication Tools;Champaign, IL;August 23, 2024;Philip Miller Furniture;['https://philipmillerfurniture.com/', 'https://howyoucanmakeit.com/', 'https://www.instagram.com/philipmillerfurniture/', 'https://youtube.com/@howyoucanmakeit'];https://www.kickstarter.com/projects/philipmiller/the-adjustable-mortise-jig-and-tenon-fastener-systemtm;A routing jig & fastener system designed for anyone who wants to quickly and accurately create a shallow mortise and tenon joint.
20;ELEGOO PHECDA Laser Engraver & Cutter;Ended;2811%;Fabrication Tools;Shenzhen, China;December 19, 2023;elegoo official;['https://www.elegoo.com/'];https://www.kickstarter.com/projects/elegooofficial/elegoo-phecda-laser-engraver-and-cutter;Quality Products for Less, Creating Savings for All｜1600 cm² Working Area｜Smoke Filtering｜Easy-to-use｜
21;Built-in Storage Bin Multi-function Ratchet Screwdriver;Ended;594%;Fabrication Tools;Hong Kong, Hong Kong;September 27, 2023;GLEDE;[];https://www.kickstarter.com/projects/glede/built-in-storage-bin-multi-function-ratchet-screwdriver;Ratcheting screwdriver / Screwdriver set / Three Ratcheting Settings / Oxidized surface treatment / Decompression function
