serial_no;title;status;fund_perc;category;place;last_updated;company;websites;project_link;description
168;SPOKE - Touch sensing made simple;Launching;none;Hardware;London, UK;;Thomas Fox;['https://www.spokeboard.com/', 'https://www.vulpeslabs.org/', 'https://www.hackoustic.org/'];https://www.kickstarter.com/projects/tomfox/spoke-touch-sensing-made-simple;SPOKE is a simplified capacitive touch sensor board for interactive computer interfacing.
169;Quralingo: Empower Your Child's Quran Learning Journey;Launching;none;Apps;Berlin, Germany;;Dr. Haytham Mones;['https://quralingo.app/', 'https://haythammones.com/'];https://www.kickstarter.com/projects/quralingo/empower-your-childs-quran-learning-journey-with-quralingo;Support the App development: AI-Enhanced, Interactive, Joyful & Engaging App, that makes Learning Quran fun for Kids & Adults worldwide
170;HopePlatformBeta;Launching;none;Web;Rome, Italy;;Hope Platform;['https://www.hope-platformbeta.com/'];https://www.kickstarter.com/projects/hope-platformbeta/hopeplatformbeta;Organic Resonance Demand Site Platform
171;The Employee Collective;Launching;none;Software;Toronto, Canada;;Vin Seunath;['https://www.theemployeecollective.com/'];https://www.kickstarter.com/projects/vin526/the-employee-collective;A collaborative platform for real-time support with work issues from battle-tested work-warriors - Wisdom of the Crowd
172;WIRECARE Plus: Ultimate Guardian for home electrical fires;Launching;none;DIY Electronics;Taipei City, Taiwan;;Brook DESIGN LLC.;['http://www.brookaccessory.com/', 'https://www.facebook.com/BrookGamingfan/?ref=ts&fref=ts', 'https://www.brook-livin.com/en/index'];https://www.kickstarter.com/projects/zeroplus/wirecare-plus-ultimate-guardian-for-home-electrical-fires;Just 10 seconds check to give you 100% guarantee to get away from electrical fires! Safe, Affordable & Long time usage!
173;Fund the Final Design of the 60 Knot Anti-Poaching Vessel;Launching;none;Technology;Sacramento, CA;;The Whale Defense Agency;['https://www.whaledefenseagency.org/', 'https://antiwhalingship.org/'];https://www.kickstarter.com/projects/whaledefenseagency/fund-the-final-design-of-the-60-knot-anti-poaching-vessel;Introducing the Whale Defense Agency's 60 Knot Anti-Whaling Vessel: a cutting-edge boat designed solely for anti-whaling missions.
174;Orc Craft;Launching;none;3D Printing;Tustin Foothills, CA;;Villain   Design;[];https://www.kickstarter.com/projects/villaindesign/orc-craft;A Complete 3D Printable Table Top Adventure Campaign
175;Trash2Cash  A New Way to Save;Launching;none;Apps;Hilton Head Island, SC;;Zach Bond;['https://www.zachbond.tech/', 'https://www.trash2cash.us/', 'https://www.linkedin.com/in/zach-bond-b62747207/'];https://www.kickstarter.com/projects/zachbond/trash2cash-a-new-way-to-save;A phone app that gives users discounts at businesses, for throwing away trash.
176;Musicology Enterprise LLC.;Launching;none;Apps;Raleigh, NC;;Musicology Enterprise;[];https://www.kickstarter.com/projects/musicologyenterprise/musicology-enterprise-llc;Musicology Enterprise (a mobile application for IOS and playstore) is an upcoming networking platform for musicians and event planners!
177;Littpopo | All-in-One Portable Smart Device for Exploration;Launching;none;Hardware;Hong Kong, Hong Kong;;LiTTPOPO;[];https://www.kickstarter.com/projects/littpopo/littpopo-ai-powered-smart-companions-for-kids;Innovative Features: AI Story Generator | Smart Camera | Portable 1000X Digital Microscope—Inspiring Kids to Explore and Discover
